model,file,label,index,num_blocks,retained_blocks,pruned_blocks,num_pruned_blocks,param_drop_rate,proxy_cider,final_cider,final_bleu4,final_meteor,final_rouge_l
BLIP-2,chromosomes/blip2/blip2_coco_high_eval_2.json,high,11,32,0 1 2 3 5 6 7 10 11 13 15 17 19 20 22 23 24 26 27 28 31,4 8 9 12 14 16 18 21 25 29 30,11,0.23110716068989995,0.9542850915865208,1.0917857607596733,0.321338279233654,0.2655987589932129,0.5416876905640585
BLIP-2,chromosomes/blip2/blip2_coco_low_eval_2.json,low,3,32,0 1 2 4 5 6 7 8 11 12 13 14 15 16 17 19 20 22 23 24 25 26 27 28 29 30 31,3 9 10 18 21,5,0.10504870940449998,1.1367062900022673,1.2832281982106055,0.3847536732642708,0.2949229649914583,0.5871864588027828
BLIP-2,chromosomes/blip2/blip2_coco_mid_eval_2.json,mid,6,32,0 1 2 3 5 6 7 8 9 10 11 13 15 17 19 20 22 23 24 25 26 27 28 31,4 12 14 16 18 21 29 30,8,0.16807793504719998,1.0485058710153612,1.1777980454784984,0.3497507647617468,0.2730589908079595,0.564793471386455
Florence-2,chromosomes/florence2/florence2_high_eval_2.json,high,4,12,0 1 2 4 5 7 10 11,3 6 8 9,4,0.08652888758181485,0.8986798442360318,1.0797689911297987,0.3151245304021157,,
Florence-2,chromosomes/florence2/florence2_low_eval_2.json,low,1,12,0 1 3 4 5 6 7 9 10 11,2 8,2,0.04326444379090742,1.0469066716919968,1.3233979087762415,0.375997899208659,,
Florence-2,chromosomes/florence2/florence2_mid_eval_2.json,mid,2,12,0 1 2 5 6 7 9 10 11,3 4 8,3,0.06489666568636114,1.0190387957818021,1.2984131177582,0.3711093119047652,,
InstructBLIP,chromosomes/instructblip/instructblip_high_eval.json,high,3,24,0 1 2 4 5 6 7 8 10 12 13 16 17 18 19 21 22,3 9 11 14 15 20 23,7,0.11313161549204526,0.7553368283204759,0.8071687281188701,0.23382884679070895,,
InstructBLIP,chromosomes/instructblip/instructblip_low_eval.json,low,6,24,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 21 22 23,11 20,2,0.03232331871201293,0.8722258357878385,1.008882990969029,0.30431846382452166,,
InstructBLIP,chromosomes/instructblip/instructblip_mid_eval.json,mid,8,24,0 1 2 4 5 6 7 8 10 12 13 14 15 16 18 19 21 22 23,3 9 11 17 20,5,0.08080829678003233,0.7957260576462281,0.9294624154145247,0.28773038894317865,,
PaliGemma,chromosomes/paligemma/paligemma_high_eval_2.json,high,3,18,0 1 3 4 5 6 8 11 12 13 14 15 16 17,2 7 9 10,4,0.1506037652352904,0.8697365382084087,1.3007321832763583,0.3896441012653504,,
PaliGemma,chromosomes/paligemma/paligemma_low_eval_2.json,low,1,18,0 1 2 4 5 6 7 9 10 11 12 13 14 15 16 17,3 8,2,0.0753018826176452,0.9730770552440607,1.3843608728495918,0.4099374928249878,,
PaliGemma,chromosomes/paligemma/paligemma_mid_eval_2.json,mid,5,18,0 1 3 4 5 7 8 9 11 12 13 14 15 16 17,2 6 10,3,0.1129528239264678,0.9250387605689767,1.3469256009772863,0.4030268334627185,,
